field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-1423087101,1382902,Rosehill,90,Well drained,0.0,23.0,3.0,6.5,0.16,41.0,5.0,54.0,1.38,31.9
osm-1423087101,1382902,Rosehill,90,Well drained,23.0,46.0,2.0,7.0,0.14,47.0,5.0,48.0,1.38,35.4
osm-1423116261,1382880,Irwin,80,Moderately well drained,0.0,15.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-1423116261,1382880,Irwin,80,Moderately well drained,15.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-1423116261,1382894,Norge,80,Well drained,0.0,20.0,2.0,6.0,0.22,22.0,18.0,60.0,1.38,11.9
osm-1423116261,1382894,Norge,80,Well drained,20.0,42.0,1.5,6.0,0.21,31.0,18.0,51.0,1.4,16.6
osm-1423116261,1382895,Norge,85,Well drained,0.0,20.0,2.0,6.0,0.22,22.0,18.0,60.0,1.38,11.9
osm-1423116261,1382895,Norge,85,Well drained,20.0,42.0,1.5,6.0,0.21,31.0,18.0,51.0,1.4,16.6
osm-1423116261,1382907,Tully,80,Well drained,0.0,25.0,3.0,6.5,0.2,33.0,5.0,62.0,0.96,27.9
osm-1423116261,1382907,Tully,80,Well drained,25.0,41.0,2.5,6.5,0.19,35.0,4.0,61.0,0.98,29.2
osm-1423116261,1382914,Verdigris,90,Well drained,0.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-1423116261,2605765,Irwin,85,Moderately well drained,0.0,18.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-1423116261,2605765,Irwin,85,Moderately well drained,18.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-1423116261,2605782,Irwin,90,Moderately well drained,0.0,28.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-1423116261,2605782,Irwin,90,Moderately well drained,28.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-1423116261,2605795,Labette,55,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.2,28.7
osm-1423116261,2605795,Labette,55,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.25,30.4
osm-1423116261,2605795,Dwight,35,Moderately well drained,0.0,15.0,3.0,6.5,0.22,23.0,7.0,70.0,1.1,19.4
osm-1423116261,2605795,Dwight,35,Moderately well drained,15.0,71.0,1.0,8.0,0.13,53.0,4.0,43.0,1.25,38.3
osm-1423116261,2668658,Clime,60,Well drained,0.0,25.0,3.0,7.5,0.16,41.0,5.0,54.0,1.32,22.1
osm-1423116261,2668658,Clime,60,Well drained,25.0,48.0,2.0,7.9,0.11,48.0,9.0,43.0,1.34,25.7
osm-1423116261,2668658,Sogn,25,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1
osm-1423116261,2668658,Sogn,25,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4
osm-1423116261,2668658,Sogn,25,Somewhat excessively drained,18.0,200.0,,,,,,,,
osm-1423116261,2733309,Labette,50,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7
osm-1423116261,2733309,Labette,50,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4
osm-1423116261,2733309,Sogn,40,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1
osm-1423116261,2733309,Sogn,40,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4
osm-1423116261,2733309,Sogn,40,Somewhat excessively drained,18.0,200.0,,,,,,,,
osm-1424247197,1382856,Benfield,60,Well drained,0.0,20.0,4.0,7.0,0.21,32.0,6.0,62.0,1.29,26.8
osm-1424247197,1382856,Benfield,60,Well drained,20.0,40.0,3.0,7.7,0.14,45.0,4.0,51.0,1.28,36.0
osm-1424247197,1382856,Labette,20,Well drained,0.0,23.0,3.0,6.1,0.19,35.0,4.0,61.0,1.32,28.7
osm-1424247197,1382856,Labette,20,Well drained,23.0,38.0,2.0,6.1,0.19,38.0,5.0,57.0,1.3,30.4
osm-1424247197,1382857,Brewer,85,Well drained,0.0,30.0,2.0,6.5,0.2,30.0,10.0,60.0,1.45,23.7
osm-1424247197,1382867,Florence,85,Well drained,0.0,10.0,3.0,6.0,0.14,24.0,10.0,66.0,1.32,20.1
osm-1424247197,1382867,Florence,85,Well drained,10.0,38.0,2.0,6.0,0.04,30.0,9.0,61.0,1.36,24.0
osm-1424247197,1382868,Florence,50,Well drained,0.0,10.0,3.0,6.0,0.14,24.0,10.0,66.0,1.32,20.1
osm-1424247197,1382868,Florence,50,Well drained,10.0,38.0,2.0,6.0,0.04,30.0,9.0,61.0,1.36,24.0
osm-1424247197,1382868,Labette,35,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7
osm-1424247197,1382868,Labette,35,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4
osm-1424247197,1382881,Ivan,85,Well drained,0.0,20.0,3.0,7.9,0.22,24.0,7.0,69.0,1.31,19.6
osm-1424247197,1382881,Ivan,85,Well drained,20.0,58.0,2.5,8.0,0.21,26.0,6.0,68.0,1.32,21.0
osm-1424247197,1382907,Tully,80,Well drained,0.0,25.0,3.0,6.5,0.2,33.0,5.0,62.0,0.96,27.9
osm-1424247197,1382907,Tully,80,Well drained,25.0,41.0,2.5,6.5,0.19,35.0,4.0,61.0,0.98,29.2
osm-1424247197,1382913,Verdigris,90,Well drained,0.0,18.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-1424247197,1382913,Verdigris,90,Well drained,18.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-1424247197,1382914,Verdigris,90,Well drained,0.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-1424247197,1382915,Water,100,,,,,,,,,,,
osm-1424247197,2605765,Irwin,85,Moderately well drained,0.0,18.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-1424247197,2605765,Irwin,85,Moderately well drained,18.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-1424247197,2605795,Labette,55,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.2,28.7
osm-1424247197,2605795,Labette,55,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.25,30.4
osm-1424247197,2605795,Dwight,35,Moderately well drained,0.0,15.0,3.0,6.5,0.22,23.0,7.0,70.0,1.1,19.4
osm-1424247197,2605795,Dwight,35,Moderately well drained,15.0,71.0,1.0,8.0,0.13,53.0,4.0,43.0,1.25,38.3
osm-1424247197,2606010,Dwight,90,Moderately well drained,0.0,15.0,3.0,6.5,0.22,23.0,7.0,70.0,1.1,19.4
osm-1424247197,2606010,Dwight,90,Moderately well drained,15.0,71.0,1.0,8.0,0.13,53.0,4.0,43.0,1.25,38.3
osm-1424247197,2668757,Labette,85,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7
osm-1424247197,2668757,Labette,85,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4
osm-1424247197,2733309,Labette,50,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7
osm-1424247197,2733309,Labette,50,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4
osm-1424247197,2733309,Sogn,40,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1
osm-1424247197,2733309,Sogn,40,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4
osm-1424247197,2733309,Sogn,40,Somewhat excessively drained,18.0,200.0,,,,,,,,
osm-666033354,1382894,Norge,80,Well drained,0.0,20.0,2.0,6.0,0.22,22.0,18.0,60.0,1.38,11.9
osm-666033354,1382894,Norge,80,Well drained,20.0,42.0,1.5,6.0,0.21,31.0,18.0,51.0,1.4,16.6
osm-666033354,1382913,Verdigris,90,Well drained,0.0,18.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-666033354,1382913,Verdigris,90,Well drained,18.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,1382913,Verdigris,90,Well drained,0.0,18.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,1382913,Verdigris,90,Well drained,18.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,1382914,Verdigris,90,Well drained,0.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,2605765,Irwin,85,Moderately well drained,0.0,18.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-667302408,2605765,Irwin,85,Moderately well drained,18.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-667302408,2605978,Ladysmith,90,Somewhat poorly drained,0.0,20.0,3.0,5.7,0.21,33.0,7.0,60.0,1.3,26.4
osm-667302408,2605978,Ladysmith,90,Somewhat poorly drained,20.0,91.0,2.0,7.0,0.15,47.0,6.0,47.0,1.35,35.4
